id,type,title,description,lat,lng,city,state,day,order,imageUrl,upgraded,status,isMutable,isNianticControlled,statement,supportingImageUrl,canAppeal,appealResolved,isClosed,appealNotes,userAppealNotes,canHold,canReleaseHold,poiData_id,poiData_imageUrl,poiData_title,poiData_description,poiData_lat,poiData_lng,poiData_city,poiData_state,poiData_lastUpdateDate,poiData_reason
"VQ5TBQRSDwIFVVcBBFkCBVoEAAcHD1VUB1MGVQUFUgZLBwI=","EDIT_DESCRIPTION","","The Residential Commons foot tunnel connects the Residential Commons and University Commons residence halls with the rest of the Missouri University of Science and Technology campus.","37.95538","-91.776857","","","2018-01-28","","","","ACCEPTED","","","","","","","","","","","","XQ8FUAdRUFEDVgZSBAgBBQFVUlYHClUAD1RRAwwEBFRLBwY=","https://lh3.googleusercontent.com/SchpnoDiJeU4dUT7h6ACzw4mQAA9qayQMg2LKT5pJe2VmfkEyFa29PHdD1Vc4LECAaZG1YMK8IFOtU4A_JrRyOvxUmk","R.C. Tunnel Murals","The Residential Commons foot tunnel connects the Residential Commons and University Commons residence halls with the rest of the Missouri University of Science and Technology campus.","37.95538","-91.776857","","LIVE","May 24, 2023",""
"AVQDAQBXBlUAUgRdBAABBwABUVUACVYFUwVXBg0ABAFLBwI=","EDIT_DESCRIPTION","","Decorative fountain structure located on the Missouri S&T campus.","37.955088","-91.774738","","","2018-01-28","1","","","ACCEPTED","","","","","","","","","","","","Vg8FVFNTD1UCAwVRBAABVgFWUgRTClcCVQEBAAQFU11LBwE=","https://lh3.googleusercontent.com/e9c_H8RWDVYQu2yVjT6hQILbv7BgJAq9rvpECm8uqueLY5OgzD3jGIXSziEyhk0eUIvvuiOK6i8zX_vh9Sjtr18bnSql","Pillars of Thought","Decorative fountain structure located on the Missouri S&T campus.","37.955088","-91.774738","","LIVE","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVWgEDlkHBgJQAVQACw8BDgQAXgoAa1MHBg09BAM9VVZpBgNpVAZvAVFqVQMNaQAOAwc=","NOMINATION","Residential Commons and University Commons Volleyball Court","This volleyball court is a provided facility for student and guest use at the Residential Commons and  University Commons residence halls.","37.956219","-91.778386","Rolla","MO","2018-03-03","2","https://lh3.googleusercontent.com/r8QsWXPyMumPvJN8TePSygjQQj40csfHzzvijt505PLnlIRkYszA47VqDsfh7580Yd0qCAOojiRH07JqnDA8","true","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQ4DAFQFBQJVBlYGDAQGAQIAV20KBFAPaAVRawBROlQBaAcGPgcDbF0FVm8IAAAI","NOMINATION","Welcome To University Commons","Sign to welcome residents to the University Commons residence hall.","37.955844","-91.779268","Rolla","MO","2018-03-04","3","https://lh3.googleusercontent.com/LIeqjqmpComqgo0kf0n1MSgYHBDOFMxbhzD2RlYRAy9HLQCw12MbbCffG8X3K6SnK-lG_z-5cxE8k9EXVp98","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQYPBFMOBwVdA1YCAAUFDgAEUwdnBlEGD2pSB29SVjoHAGkHU2kACjoAVQFnBgYIAw==","NOMINATION","Residential Commons 1","Sign denoting the Residential Commons 1 building.","37.955327","-91.777796","Rolla","MO","2018-03-04","4","https://lh3.googleusercontent.com/82iotFqgRkfG2eWDjKO_rBEl0FSTqCVdHZZFjamtH1uAz_68mQ_Lz60gV_Fz0tZk8aQ37VwIk2e-IWIABlg","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQQGD1YCAARcBVcBDgAJDwMCUW0KBFAPaAVRawBROlQOaAYDPgQCbFYFVW8IAAAI","NOMINATION","S&T Electrical Engineering Building","North upper entrance to the electrical engineering building at S&T.","37.956372","-91.772927","Rolla","MO","2018-03-04","5","https://lh3.googleusercontent.com/yBcYhM9vjUcsg7PAD-s7r_Svw5DWxmXmsdx3IuRZR6qyHt5dMfKmoRFSXq-FSHcfXTAnabj5Cv4MhfQyu2Ao","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVWgEAlcBAgddDVUADgMBDwACVwEJa1MHBg09BAM9VVZpBg5pUA5vAFVqUgEPaQAOAwc=","NOMINATION","Zatar Eastern Mediterranean Cuisine","Mediterranean dining option that opened in January 2016 at Missouri S&T. They serve really good gyros and a variety of sides.","37.954312","-91.775975","Rolla","MO","2018-03-04","6","https://lh3.googleusercontent.com/foYDXrr9xaMe9RBAp8z2Q2XBKovz_cpIywQqCVACjxhXOs2LTqDQjVH3MjR_0izZ4VTIReFeGPWhb7GLgpDQ","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQAPAVcABgFdB1wIDQEICQsCUgJnBlEGD2pSB29SVjoHD2kEUGkBAToBVAlnBgYIAw==","NOMINATION","Mountain Laurel In Bloom","Oil painting made be Isaiah Zagar. Located in Havener on the second floor.","37.954744","-91.776505","Rolla","MO","2018-03-04","7","https://lh3.googleusercontent.com/O-7sa1nb8vUehEWteg27LCLjhsyOfOHv_G4C_HxrG8d4h3wuDo17AzAMusDieSa6oRJW9uBKS6iakAoFHj-F2A","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQUOB1IFCApTB1wEDgYHDgQBVwRnBlEGD2pSB29SVjoHD2kFUWkDBjoNXAVnBgYIAw==","NOMINATION","Avenue C","Convenience store offered at Missouri S&T, located in the basement of the Residential Commons building 2. Established in January 2017.","37.956194","-91.778078","Rolla","MO","2018-03-04","8","https://lh3.googleusercontent.com/QGvfMzBX8Yr4jLWt9UWO6E0BFZVY-u6XHbA_gYdanxv2Cr9wQBu1voqGadH6IHBPD9nfTe-bbS7s2IhbUFR0","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVWgPB1cHCAZSBVMICgICAAAPUgMAa1MHBg09BAM9VVxpBgZpUgRvB1RqVAIMaQAOAwc=","NOMINATION","Schrenk Biological Sciences Display","A display of various biological materials that includes pipette parts, test tubes, echinoderm (sea urchin) remains. Located on the first floor of Schrenk hall outside the Biological Sciences office.","37.952923","-91.773752","Rolla","MO","2018-03-09","9","https://lh3.googleusercontent.com/QoMA99XPRtu8hpvjswOjfe-mNy568hmSv9VTjRBmdBOgfyWf_S7WoDPVT6J5jXUa2Sh2_uTYcTWWfg5zFENQsw","","REJECTED","","","","","","true","true","Thanks for the appeal, Explorer! We could not verify the existence of this object at the specified location, so we are unable to reverse the decision. We recommend that you resubmit the nomination with supporting image showing the object and its location with respect to the background or additional text information to confirm its location/existence.","This is a permanent educational display that is located within an educational building on the grounds of a public university. This waypoint promotes education and exploration.","","","","","","","","","","","",""
"UQUOD1RQDwVXVANcBAFQVgBRAFYKClVQAAdXU1FSUANLVQYHDlgOBAFTA1MEDwACAQYHU20KBFAPaAVRawBbOlQGaAIGPgcDbFMBVG8IAAAI","NOMINATION","Schrenk Hall","Located on the Missouri S&T campus, hosting the Biological Science and Chemistry departments for both class and research.","37.95276","-91.773129","Rolla","MO","2018-03-10","10","https://lh3.googleusercontent.com/NntiW7n_-ch1AVznyiYRd13yGds6dBn_dvzhL17G7iVcUZc_Vpv8pHMhTnCZgUPCUyEYdXkz34i7Cdj9yhqN","","REJECTED","","","","","true","","","","","","","","","","","","","","","",""
